@@,name,position
---,Álvaro González Ricci,Minister of Public Finance
---,Raúl Romero Segura,Minister of Social Development of Guatemala
---,Rafael Rodríguez Pellecer,Minister of Labour and Social Welfare of Guatemala
---,Mario Rojas Espino,Minister of Environment and Natural Resources  of Guatemala
---,Mario Búcaro,Minister of Foreign Affairs
---,José Ángel López,"Minister of Agriculture, Livestock and Food of Guatemala"
---,Javier Maldonado Quiñónez,"Minister of Communications, Infrastructure, and Housing"
---,Henry Reyes Chigua,Minister of National Defence of Guatemala
---,Gendri Reyes Mazariegos,Minister of the Interior of Guatemala
---,Francisco Coma Martín,Minister for Health and Social Assistance of Guatemala
---,Felipe Aguilar Marroquín,Minister of Culture and Sports of Guatemala
---,César Guillermo Castillo Reyes,Vice President of Guatemala
---,Claudia Ruiz Casasola,Minister of Education of Guatemala
---,Antonio Malouf Morales,Minister of the Economy of Guatemala
---,Alejandro Giammattei,President of the Republic of Guatemala
