position,person,personID,start,gender,DOB,DOD,image,enwiki
President,Alejandro Giammattei,Q2134696,2020-01-14,male,1956-03-09,,Alejandro Giammattei (portrait) (cropped2).jpg,Alejandro Giammattei
Vice President,César Guillermo Castillo Reyes,Q64696643,2020-01-14,male,1966-03-17,,Guillermo Castillo Reyes (07-2019) (1) (cropped).jpg,Guillermo Castillo Reyes
"Minister of Agriculture, Livestock and Food",José Ángel López,Q110184153,2020-04-14,,,,,
"Minister of Communications, Infrastructure, and Housing",Javier Maldonado Quiñónez,Q110184156,2021-07-01,,,,,
Minister of Culture and Sports,Felipe Aguilar Marroquín,Q110184158,2020-09-10,male,,,,
Minister of the Economy,Antonio Malouf Morales,Q110184160,2020-01-14,male,,,,
Minister of Education,Claudia Ruiz Casasola,Q110184161,2020-01-14,,,,,
Minister of Energy and Mines,Alberto Pimentel Mata,Q110184162,2020-01-14,male,,,,
Minister of Environment and Natural Resources,Mario Rojas Espino,Q110184154,2020-01-14,,,,,
Minister of Foreign Affairs,Pedro Brolo,Q66381168,2020-01-14,male,1981-02-03,,Pedro Brolo (17-9-2020).jpg,Pedro Brolo
Minister of Health and Social Assistance,Francisco Coma Martín,Q110184170,2021-09-16,,,,,
Minister of the Interior,Gendri Reyes Mazariegos,Q110184167,2020-11-19,,,,,
Minister of Labour and Social Welfare,Rafael Rodríguez Pellecer,Q110184172,2020-07-01,,,,,
Minister of National Defence,Henry Reyes Chigua,Q110227649,2021-12-21,male,,,Henry Reyes Chigua (cropped).jpg,Henry Reyes Chigua
Minister of Public Finance,Álvaro González Ricci,Q110184164,2020-01-14,,,,,
Minister of Social Development,Raúl Romero Segura,Q110184159,2020-01-14,male,,,,
Attorney General,María Consuelo Porras,Q52577583,2018-05-17,female,1953-08-23,,Fiscal General Maria Consuelo Porras (cropped).jpg,María Consuelo Porras
President of the Congress,Shirley Rivera,Q108929476,2022-01-14,female,1971-09-22,,Shirley Rivera 14 January 2022 (cropped).jpg,Shirley Rivera
President of the Central Bank,Sergio Francisco Recinos Rivera,Q110184207,2018-10-01,male,,,,
Chief of Defence Staff,Walfre Omar Carranza España,Q110184238,2020-12-19,male,,,,
